file,x,y,facing,edge,wall,fraction,off_fwd_mm,off_left_mm
run_001.png,0,0,N,front,0,0.0000,,
run_001.png,0,0,N,back,1,0.9942,,
run_001.png,0,0,N,left,1,0.2917,,
run_001.png,0,0,N,right,1,0.4514,,
run_001.png,0,0,N,right:back,1,0.4950,,
run_001.png,0,0,N,right:front,0,0.0000,,
run_001.png,0,0,N,right:right,0,0.0000,,
run_003.png,0,1,N,front,0,0.0000,,2.3
run_003.png,0,1,N,back,0,0.0000,,2.3
run_003.png,0,1,N,left,1,0.4430,,2.3
run_003.png,0,1,N,right,0,0.0000,,2.3
run_003.png,0,1,N,right:back,0,0.0000,,2.3
run_003.png,0,1,N,right:front,0,0.0000,,2.3
run_003.png,0,1,N,right:right,0,0.0000,,2.3
run_005.png,0,2,N,front,1,0.4201,10.6,2.3
run_005.png,0,2,N,back,0,0.0000,10.6,2.3
run_005.png,0,2,N,left,1,0.4540,10.6,2.3
run_005.png,0,2,N,right,0,0.0000,10.6,2.3
run_005.png,0,2,N,right:back,0,0.0000,10.6,2.3
run_005.png,0,2,N,right:front,1,0.4961,10.6,2.3
run_005.png,0,2,N,right:right,1,0.8708,10.6,2.3
run_007.png,1,2,N,front,1,0.4317,1.2,-2.3
run_007.png,1,2,N,back,0,0.0000,1.2,-2.3
run_007.png,1,2,N,left,0,0.0000,1.2,-2.3
run_007.png,1,2,N,right,1,0.4677,1.2,-2.3
run_007.png,1,2,N,left:back,0,0.0000,1.2,-2.3
run_007.png,1,2,N,left:front,1,0.4810,1.2,-2.3
run_007.png,1,2,N,left:left,1,0.8281,1.2,-2.3
run_007.png,1,2,N,right:back,0,0.0000,1.2,-2.3
run_007.png,1,2,N,right:front,1,0.5010,1.2,-2.3
run_007.png,1,2,N,right:right,1,0.8572,1.2,-2.3
run_009.png,1,1,N,front,0,0.0000,,
run_009.png,1,1,N,back,0,0.0000,,
run_009.png,1,1,N,left,0,0.0000,,
run_009.png,1,1,N,right,0,0.0000,,
run_009.png,1,1,N,left:back,0,0.0000,,
run_009.png,1,1,N,left:front,0,0.0000,,
run_009.png,1,1,N,left:left,1,0.8269,,
run_009.png,1,1,N,right:back,0,0.0000,,
run_009.png,1,1,N,right:front,0,0.0000,,
run_009.png,1,1,N,right:right,1,0.8365,,
run_011.png,2,1,N,front,0,0.0000,,-7.0
run_011.png,2,1,N,back,0,0.0000,,-7.0
run_011.png,2,1,N,left,0,0.0000,,-7.0
run_011.png,2,1,N,right,1,0.4509,,-7.0
run_011.png,2,1,N,left:back,0,0.0000,,-7.0
run_011.png,2,1,N,left:front,0,0.0000,,-7.0
run_011.png,2,1,N,left:left,0,0.0000,,-7.0
run_013.png,2,2,N,front,1,0.4396,1.2,-0.6
run_013.png,2,2,N,back,0,0.0000,1.2,-0.6
run_013.png,2,2,N,left,1,0.4636,1.2,-0.6
run_013.png,2,2,N,right,1,0.4585,1.2,-0.6
run_013.png,2,2,N,left:back,0,0.0000,1.2,-0.6
run_013.png,2,2,N,left:front,1,0.4910,1.2,-0.6
run_013.png,2,2,N,left:left,0,0.0000,1.2,-0.6
