file,x,y,facing,edge,wall,fraction,off_fwd_mm,off_left_mm
2015_001.png,0,0,N,front,0,0.0000,8.2,8.2
2015_001.png,0,0,N,back,1,0.5870,8.2,8.2
2015_001.png,0,0,N,left,1,0.4488,8.2,8.2
2015_001.png,0,0,N,right,0,0.0000,8.2,8.2
2015_001.png,0,0,N,right:back,1,0.5175,8.2,8.2
2015_001.png,0,0,N,right:front,1,0.4892,8.2,8.2
2015_001.png,0,0,N,right:right,1,0.8005,8.2,8.2
2015_003.png,0,1,N,front,0,0.0000,,-4.1
2015_003.png,0,1,N,back,0,0.0000,,-4.1
2015_003.png,0,1,N,left,1,0.4519,,-4.1
2015_003.png,0,1,N,right,1,0.4562,,-4.1
2015_003.png,0,1,N,right:back,1,0.4922,,-4.1
2015_003.png,0,1,N,right:front,0,0.0000,,-4.1
2015_003.png,0,1,N,right:right,0,0.0000,,-4.1
2015_005.png,0,2,N,front,0,0.0000,,-4.7
2015_005.png,0,2,N,back,0,0.0000,,-4.7
2015_005.png,0,2,N,left,1,0.4450,,-4.7
2015_005.png,0,2,N,right,0,0.0061,,-4.7
2015_005.png,0,2,N,right:back,0,0.0000,,-4.7
2015_005.png,0,2,N,right:front,1,0.4775,,-4.7
2015_005.png,0,2,N,right:right,1,0.8519,,-4.7
2015_007.png,0,3,N,front,1,0.3973,13.0,-5.9
2015_007.png,0,3,N,back,0,0.0000,13.0,-5.9
2015_007.png,0,3,N,left,1,0.4483,13.0,-5.9
2015_007.png,0,3,N,right,0,0.0021,13.0,-5.9
2015_007.png,0,3,N,right:back,1,0.4805,13.0,-5.9
2015_007.png,0,3,N,right:front,0,0.0000,13.0,-5.9
2015_007.png,0,3,N,right:right,1,0.8425,13.0,-5.9
2015_009.png,1,3,N,front,0,0.0000,-1.2,0.0
2015_009.png,1,3,N,back,1,0.5711,-1.2,0.0
2015_009.png,1,3,N,left,0,0.0000,-1.2,0.0
2015_009.png,1,3,N,right,1,0.4493,-1.2,0.0
2015_009.png,1,3,N,left:back,0,0.0000,-1.2,0.0
2015_009.png,1,3,N,left:front,1,0.4775,-1.2,0.0
2015_009.png,1,3,N,left:left,1,0.8157,-1.2,0.0
2015_009.png,1,3,N,right:back,0,0.0000,-1.2,0.0
2015_009.png,1,3,N,right:front,0,0.0000,-1.2,0.0
2015_009.png,1,3,N,right:right,1,0.8484,-1.2,0.0
2015_011.png,1,4,N,front,0,0.0000,,-4.7
2015_011.png,1,4,N,back,0,0.0000,,-4.7
2015_011.png,1,4,N,left,1,0.4595,,-4.7
2015_011.png,1,4,N,right,0,0.0009,,-4.7
2015_011.png,1,4,N,left:back,1,0.4702,,-4.7
2015_011.png,1,4,N,left:front,1,0.4764,,-4.7
2015_011.png,1,4,N,left:left,1,0.5185,,-4.7
2015_011.png,1,4,N,right:back,0,0.0000,,-4.7
2015_011.png,1,4,N,right:front,1,0.4725,,-4.7
2015_011.png,1,4,N,right:right,1,0.8488,,-4.7
2015_013.png,1,5,N,front,1,0.4101,13.0,-9.4
2015_013.png,1,5,N,back,0,0.0000,13.0,-9.4
2015_013.png,1,5,N,left,0,0.0000,13.0,-9.4
2015_013.png,1,5,N,right,1,0.4562,13.0,-9.4
2015_013.png,1,5,N,left:back,1,0.4660,13.0,-9.4
2015_013.png,1,5,N,left:front,1,0.4647,13.0,-9.4
2015_013.png,1,5,N,left:left,1,0.4434,13.0,-9.4
2015_013.png,1,5,N,right:back,1,0.4645,13.0,-9.4
2015_013.png,1,5,N,right:front,0,0.0000,13.0,-9.4
2015_013.png,1,5,N,right:right,0,0.0000,13.0,-9.4
2015_015.png,1,4,N,front,0,0.0000,,11.7
2015_015.png,1,4,N,back,0,0.0000,,11.7
2015_015.png,1,4,N,left,1,0.4433,,11.7
2015_015.png,1,4,N,right,0,0.0043,,11.7
2015_015.png,1,4,N,left:back,1,0.4638,,11.7
2015_015.png,1,4,N,left:front,1,0.4755,,11.7
2015_015.png,1,4,N,left:left,1,0.8362,,11.7
2015_015.png,1,4,N,right:back,0,0.0000,,11.7
2015_015.png,1,4,N,right:front,1,0.4641,,11.7
2015_015.png,1,4,N,right:right,1,0.7037,,11.7
2015_017.png,2,4,N,front,1,0.4200,-3.5,-3.5
2015_017.png,2,4,N,back,0,0.0000,-3.5,-3.5
2015_017.png,2,4,N,left,0,0.0000,-3.5,-3.5
2015_017.png,2,4,N,right,1,0.4450,-3.5,-3.5
2015_017.png,2,4,N,left:back,0,0.0000,-3.5,-3.5
